// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a
// command took 3.26s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a
// command took 14.91s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a
// command took 4.58s and exited with 0
// ***** Done, took 00:00:23 (23.15 sec)   *****
// Found 2 benchmarks:
//   StringVsStringBuilder.UsingString: DefaultJob
//   StringVsStringBuilder.UsingStringBuilder: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: StringVsStringBuilder.UsingString: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e84ed014-edbb-41fc-adcc-da9ff2ab812a.dll" --benchmarkName "ClassPractice.StringVsStringBuilder.UsingString" --job "Default" --benchmarkId 0 in C:\Users\ankadam\source\repos\ClassPractice\ClassPractice\bin\Release\netcoreapp2.2\e84ed014-edbb-41fc-adcc-da9ff2ab812a\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 410620.56 ns, 410.6206 us/op
WorkloadJitting  1: 1 op, 2706230.16 ns, 2.7062 ms/op

OverheadJitting  2: 16 op, 321275.94 ns, 20.0797 us/op
WorkloadJitting  2: 16 op, 4813669.07 ns, 300.8543 us/op

WorkloadPilot    1: 16 op, 3958878.14 ns, 247.4299 us/op
WorkloadPilot    2: 32 op, 11144008.57 ns, 348.2503 us/op
WorkloadPilot    3: 64 op, 20433295.86 ns, 319.2702 us/op
WorkloadPilot    4: 128 op, 33093610.18 ns, 258.5438 us/op
WorkloadPilot    5: 256 op, 71481162.33 ns, 279.2233 us/op
WorkloadPilot    6: 512 op, 126032796.40 ns, 246.1578 us/op
WorkloadPilot    7: 1024 op, 250562050.56 ns, 244.6895 us/op
WorkloadPilot    8: 2048 op, 507969722.02 ns, 248.0321 us/op

OverheadWarmup   1: 2048 op, 5470.08 ns, 2.6709 ns/op
OverheadWarmup   2: 2048 op, 4376.06 ns, 2.1367 ns/op
OverheadWarmup   3: 2048 op, 6199.42 ns, 3.0271 ns/op
OverheadWarmup   4: 2048 op, 7658.11 ns, 3.7393 ns/op
OverheadWarmup   5: 2048 op, 4740.73 ns, 2.3148 ns/op
OverheadWarmup   6: 2048 op, 12398.84 ns, 6.0541 ns/op
OverheadWarmup   7: 2048 op, 7293.44 ns, 3.5612 ns/op

OverheadActual   1: 2048 op, 28444.41 ns, 13.8889 ns/op
OverheadActual   2: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual   3: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual   4: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual   5: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual   6: 2048 op, 32455.80 ns, 15.8476 ns/op
OverheadActual   7: 2048 op, 4011.39 ns, 1.9587 ns/op
OverheadActual   8: 2048 op, 4011.39 ns, 1.9587 ns/op
